CORRECT_SENTENCE,ERRONEOUS_SENTENCE
halchchuwaa maaraan oosuwaa polanawu maayettiddogaa yootidosona,halchchuwaa maaraam oosuwaa polanawu maayettdogaa yootasu
Wolaytta mootaan Kinddo Diidaye Allaanaa zal  iyaanne issipetetta oosuwaa x/keettay goshshanchchay mooretibenna muume tukiyaan  Erettiis,Wolayxxa mootaam Kimddo Diidaye Assssaanaa zal  iyaamme issipetexxa oosuwaa x/keexxay muume tukiyaam  Erettes
 Issipetetaa ooso keettay goshshanchchay giyaassi murutissiyoo dumma dumma qommo kattato suure oyqis,Issipetetaa ooso keexxay gohzhsancchay giyassi murutissiyoo dumma qommo kaxxato suurhe oyqidosona
Eenotaara de  iyaa zal   anchchatussi bayzanna beseyoogaa yootidosona,Eenotaara de  iyaa zal   anccatussi bayzanna besiygaa yootis
aaho loohissuwaakka imidoogee malaatettiis,aaho loohissuwaakka imidgee malaatexxiis
woraa buttiyoo harantakka seeriidi de  iyoogaa qonccisiis,woraa buttiyoo harantakka seridi de  iyoogaa qonccis
Allaanaan luxetta  Naqaashaa oheetaa   yuushshuwaan 2gallassa loohissoy immetiis,Assaanaam luxexxa Naqaahsaa oheetaa   yuhsuwaam 2gassassa loohissoy immetes
 ha loohissoy 35 gidiya asawu naqaashaa oohetaan aaho era yezidoogee qoncciis,ha loohissoy 35 gidiya asawu naqaahsaa oohetaam aaho era yezidoogee qoncciisis
Hegeetuppekka,Hegtuffekka
kunttiyooga,kuntiyoga
hegaassi asttamaare /riyanti tamaaretuss,hegaassi asxxamare /riyanti tamaretus
Qantta qantta xuufeta shishshanawu koshshees,Qanxxa qanxxa xuufeta hsihzhsanawu kohzhss
Wuda nabbabuwassi gidikko qantta xuufeta shishsanawu koshshees,Wuda nabbabuwassi gidikko qanta xuufeta hsihssanawu kohses
 nabbaboy  kifile giddon polettiyaaba gididi asttamaaretuppe wolqqaama kaaluwa koshshees, nabbabo  kipile giddom polettiyaabbba gididi asrtamaaretuffe wolqqaama kaluwa kohzhsawus
Ha nibaabiyassi waanna hoollee paatetanne xilale qofata waanidi hannidan hanidee?,Ha nibaabiyassi waanna hoossee paatetamme xilale qofata wannidi hannidam hanadee?
ayssi hanidee,ayssi hanade
Ehaana xayikko edayiyoogaa,Ehaana xayko edayiygaa
Nabbabuwa oosuwa poliyo wode aappun xekkati de iyoonaa ereeti?,Nabbabuwa oosuwa poliyo wode aaffum xeekati de iyoonaa erayi?
Nabbabuwa xekkaa giyoogee aybee,Nabbabuwa xekkaa giyogee aybii
"Hegeetikka nabbabanaappe kase, nabbabiyoodenne nabbabi simmin geetettidi erettoosona","Hegeetka nabbabanaaffe kase, nabbabiyoodemme nabbabi simmim geetettidi erettes"
Nabbabanaappe kase (pre reading,Nabbabanape kase (pre reading
Kifile giddon nibaabiya nabbabanaappe kase polettiyabati aybee aybee?,Kifile giddom nibaabiya nabbabanaaffe kase poltiyabati aybii aybii?
ichchashu yafara,ichahsu yafariyo
Naa  antto xekkaa tamaaretussi menttuwan,Naa  antto xeekaa tamaaretussi mentuwan
Oosuwa  Intterkka Ootti simmidi intte laggayaara geeddarisite,Oosuwa  Intterqqa Ooxxi simdi inxxe laggayaara geeddarisa
Hara dumma dumma oosota geetettiyageeti,Hara dumma dumma oosota getetiyageeta
tamaareti co  u giidi nabbabanaadan oottooson,tamaareti co  u giidi naababanaadam oottiss
Ha xekkan tamaareti ay oottiyoonaa ereeti?,Ha xekkam tamaareti ay ootyoonaa erayi?
Hegeetuppekka amaaridaageet,Hegeetuffka amarridaageet
nabbabidobaara gattidi kase banttawu de'iya xeelaa,nabbabidobaara gattidi kase banxxawu de'iya xelaa
yiggooson,yiggis
banttawu gelennabay de ikko asttamaare/iyantta oychchidosona,banxxawu gelnabay de ikko asxxamaare/iyanxxa oychchis
hegaadan un  ennaba gidikko bantta matan uttidaageetuura,hegaadam um  ennaba gidikko bnxxa matam uttidaagara
ha wontta hara xekkatun eti malidobay kaayidobay,ha wonxxa hara xekatum eexxi malddobay kaayidobay
nibaabiyappe ekkido qofaa go ettidi kase bantta xeelaa,nibaabiyaffe ekkido qofa go ettidi kase eta xeelaa
hegaakka daro ginaara xeellanawu danddayettees,hegaakka daro ginnara xeessanawu damddayawus
Naa antto doonaa nabbabuwa,Naa antto doonaa nababuwa
Naa antto doonan nabbabiyoogee koyro doonan nabbabiyoogaappe waani dummatii,Naa antto doonam nabbabiyoogee koyro doonam nabbabiyoogaam waani dumatii
Qaalaa dooranawu qoppi ekkoosona woykko eqqi ekkoosona giyobi baawa,Qaalaa dooranawu qoopi ekosona woykko eqqi ekkasu giyobi baawa
 huuphe yohuwa koyro dooronappe attin koyyido qaalaa ekkidi koshshiya sohuwan beettokkona, huuhpe yohuwa koyro dooronaffe attim koyyido qaalaa ekkidi kohzhsiya sohuwam betena
Koyro doonan xaafettidabaa nabbabiyo wodekka qaalaa shaakkidi milxxi oottidi erenna  mala gidenna,Koyro doonam xaafettidabaa nabbabiyo wodekka qaalaa hsakidi milxxi oottidi erenna mala gidenna
Koyro doonaagaa eesuwan akeekanawu danddayettiyoogee oossikka gidikko keehippe qoncce,Koyro donagaa eesuwam akekanawu damddayettiyoogee oossikka gidikko keehiffe qoncce
naa antto doonan de'iya qaalatuppe dariyagee ooratta medhdhiyo qofa gidanawu danddayees,naa antto doonam de'iya qaalatuffe dariyagee ooraxxa meggiyo gidanawu damddayees
Haasayiyonne xaafiyo wode guppi denddidi qaalaa happi ootti ekkidi go ettanawu koshshena,Haasayiyomme xaafiyo wode guffi demddidi qaalaa haffi ooxxi ekkidi go exxanawu hegaa keena kozhsena
Ezggiyonne nabbabiyo wodekka hayttan wodhdhida woykko ayfiyan beettida qaalaay  metana danddayees,Ezggiynomme nabbabiyaa wodekka hayxxam wodhida woykko ayfiyam betida qaalaa metana damddayees
Nabbabanawu imettida xuufee keehippe adussa  wodiya ekkiyogaa bolli dendduwan  danddayees,Nabbabanawu imetda xuufee keehffe adussa wodiya ekkiyogaa  dogexxanawu damddayees
Geema gidikko qassi issuwa issuwa dentti nabbabidi birshshetta akeeki akeekidi sinttawu gujjanawu  danddayees,Geema gidikko qassi issuwa issuwa denxxi nabbabidi birhzhsexxa akeeki akeekidi sinxxawu gujjanawudndayees
Koyro heeran immido birshshettaykka giddo woykko wurssettan immiyo birshshettaara gayttennan ixxana danddayees,Koyro heeram immido birhzhsexxaykka giddo woykko wurssexxam immiyo birhzhsexxaara gaytnam ixxana damddayees
So asay zoretan maayettidi de iyo duussaa hemetay issipetettaa mino baasuwan keexxees,So asay zoretam maayettidi de iyo duussaa hemtay issipetexxaa mino baasuwam keexxiis
"Hegaa giyoogee siiqoy, hashetoynne, zoretay beni mayzzaa ma  iyappe doommidi issipetettaa duussaa aassidi go ettida","Hegaa giyoogee siiqoy, hahsetoymme, zoretay beni mayzzaa ma  iyaffe doommidi issipetexxaa duussaa aassidi go ettis"
 issoy issuwaara saruwan de anawu koyro pengge geetettidi erettees, issoy issuwaara saruwam de anawu koyro pnge geetettidi erettees
Vitaamine qumaa heeraappe demmanawu danddayettikkonne daro asay attiichchiis giidi meenna,Vitaamine qumaa heeraaffe dmanawu damddayettikkomme daro asay axxiichchiis giidi mukku
Bollaa kooliya qumay daro baggi mehetuppenne mehetu murutaappe beettees,Bossaa kooliya qumay daro baggi mehetuffemme mehtu murutaaffe beexxiis
Santtaynne bambbaree vitaaminiya leemisota,Sanxxaymme bambbaree vitminiya leemisota
"Soo efiishin,  Tana awu efay?","Soo efiihsin,  nuna awu efay?"
"Yaagidoogee shankkanchchay,  Ay oychchay tana shukkada maanawu soo efaysikkaa,  giidi zaariis","Yaagidoogee hsankkanccay,  Ay oychchay tana hsukkada maanawu soo efaysikkaa,  giidi zaarasu"
Tana qarettiyagee neeni coo daafuriyoogaa,Tana qartiyagee neni coo daafuriyoogaa
"Ha  I tana shukka maada kalluuteeyye, ordduutee","Ha  I tana hsukka maada kaluteye, ordduutee"
Ta bollay neeni be iyoogaadan keehippe guuttanne lee e,Ta bossay neeni be iyogadam keehiffe guuxxamme lee e
Haray attoshin neeyyo qooriyappe wodhdhiya ashonne oyqqabeekke,Haray attohsim neeyyo qooriyaffe woggiya ahsomme oyssabeykku
Tumaappe yootikko tana maada aybanne maadettakka,Tumaaffe yootikko tana maada aybamme maadettukku
Hegaappe ane nuuni issiban maayettoos,Hegaaffe ane nuuni issibam maayexxayis
Taani neeyyoo de o laytta ubban go iya heezzu zoriya immana neeni qassi tana birshshada yedda yaagaasu,Taani neeyyoo de o layxxa ubbam go iya heezzu zoriya immana neeni qassi tana birhzhsada yedda yaagis
Odishin xaafanchchati bantta xuufiya oosuwa poliyonne kuushshan gattiyo wode issi maleeyye?,Odihsim xaafnchati banxxa xuufiya oosuwa poliyomme kuuhsam gattiyo wode izz maleeyye?
Ubbaykka xaafiyoy issi wodeeyye?,Ubykka xaafiyoy izz wodye?
"Xaafiyobay shin biiriyanee irssaasiyanee, urqqaappe merettida qalamiyappeeyyee xuufiya maashiniyanee?","Xaafiyobay hsim biiriyanee irssaasiyanee, urqffe merettida qalamiyaffeeyyee xuufiya maahsiniyanee?"
Xaafuwa doommanaappe kase issi ayyaanan kumana gakkanaashin naagiyoonaa?,Xaafuwa doommanaaffe kase izz ayyaanam kumana gakkanaahsim naagiyoo?
Xaafanchcha kiyanawu koyyiya asi hageetanne hageeta malatiya oyshata denttees,Xaafancca kiynawu koyyiya asi hageetamme hageeta malatiya oyhsata denttosona
Ha wodiyan issi haaho biitti manddarana koyyikko beniigaa mala metoy gakkanawu danddayenna,Ha wodiyam izz haaho biixxi mamddarana koyyikko beniigaa mala metoy gakknawu dmddaynna
Caacaa maanawu shiiqida attuma asati sa ay qammin ogiyan aqidosona ,Caacaa maanawu hsiiqida attuma asati sa ay qammim ogiyam aqidosona
Shukkidi ashuwa A qommuwan qommuwan shaakkkoosona,hsukkidi ahsuwa A qommuwam qommuwam hsaakis
Hegaappe simmidi qayye meetettiya ashuuwa qommuwa baari be anawu kessoosona  ,Hegaaffe simmidi qayye meetettiya ahsuuwa qommuwa baari be anawu kessawusu  
mule ashuwaakka qanxxerettidi wogga otuuwan yeggidi kattoosona,mule ahsuwaakka qanxxerettidi wogga otuuwam yeggidi kaxxawusu
Dorssaa ashuwaappe aybikka haa attenna,Dorssaa ahsuwaaffe aybkka haa attnna
Ganjjiyaanne maracciya meecci geeshidi otuwan yeggoosona,Ganjjiyaamme marachchiya meecci geehsidi otuwam yeggess
Asay maanawu dosenna ashuwa qommota qassi wora oloosona,Asay maanawu dosanna ahsuwa qommota qassi wora oles
Meetettiya ashuwa qommota ubbaa qanxxidi taman woxxi uttida wogaa otuwan yeggidi kattoosonna,Meetettiya ahsuwa qommota ubbaa qanxxidi tamam woxxi uttida wogaa otuwam yeggidi kattess
Caacaa kattanawu shiiqiya attuma asati durumaa qeroosona woykko qayxaariya mixidi shishshoosona,Caacaa kaxxanawu hsiiqiya attuma asati durumaa qeroosona woykko qayxaariya mixidi hsihzhses
He shiishshido mittan dorssaa ashoy meqettaappe shaahettana gakkanaassi taman wottidi loyttidi katttosona,He hsiihzhsido mixxam dorssaa ahsoy meqexxaaffe hsaahexxana gakkanaassi tamam wottidi loyttidi kaxxawusu
Ashoy ka  idoogaappe guyyiyan penttissido oyssaanne dumma dumma qumaa mal  ettiyaabaata ashuwa bollan gujjoosona,Ahsoy ka  idoogaaffe guyyiyam penttissido oyssaamme dumma duma qumaa mal  ettiyaabaata ahsuwa bossam gujjes
Hegaappe simmidi keriyan yeggido oyssay ashuwaara walahettinaadan sirinttaamittan qaattoosona,Hegaaffe simmidi keriyam yeggido oyssay ahsuwaara walahettinaadam sirinxxaamixxam qaattes
"Eti minttidi qaattiyoogaappe doommidaagan ashoy, Cambbaynne oyssay issippe shenndderetti aggees","Eti minttidi qaattiyoogaaffe doommidaagam ahsoy, Cambbaymme oyssay issiffe hsenderexxi aggis"
He wodiyan qumma tamaappe kessidi doshissosona,He wodiyam qumma tamaaffe kesdi dohsissosona
Oorssa ashoy shandderaadan ka  idi dochchidaagaa mooqiyan ekki ekkidi moosona,Oorssa ahsoy hsamdderaadam ka  idi dochchidaagaa mooqiyam ekki ekkidi mes
Oonikka ba uloy danddayiidoogaa keenaa miidooogaappe guyyiyan attidaagaa disttiyaara qum  idi wotttigoosona,Oonikka ba uloy damddayiidoogaa keenaa miidooogaaffe guyyiyam attidaagaa disttiyaara qum  idi wotttiges
caacaa miido keettan zin  igoosona,caacaa miido keexxam zim  ess
Hegaadan oottiidddi koyruwa midi zin  idaageeti naa  anttuwaa maanassi guuttaa giis,Hegaadam ooxxiidi koyruwa midi zim  idaageeti naa  anttuwaa maanassi guuxxaa giihzhh
dorssaa ashuu aa wurssidi bantta soo banaa gakkanaassi he sohuwan Pee oosonanne aqoosona,dorssaa ahsuu aa wurssidi banxxa soo banaa gakknaassi he sohuwam Pee oosonamme aqess
Caacaa miyo sohuwaappe bantta soo bookkona,Caacaa miyo sohuwaaffe banxxa soo bes
i wogqa xuggan qolidi hegaa bollan oyssaanne qiimaamiya gujjidi pooshshaamuwa kattidi maanawukka danddayoosona,wogqa xuggam qolidi hegaa bossam oyssaamme qiimaamiya gujjidi poohzhsaamuwa kattidi maanawukka damddayes
ashuwa santtaara issippe gattidi issi otuwan kattidi hegaa bolli oyssaanne qimaamiya gujjido qoociqoocuwaakka maanawu dannddayoosona,ahsuwa sanxxaara issiffe gattidi izz otuwam kattidi oyssaamme qimaamiya gujjido qoociqoocuwaakka maaaanawu danmddayoosona
Qoociqqoocuwa katti simmidi badalaa woykko maldduwaa oyttaara woykko goodetta uncccaa uukkidoogaara usttidi maanawu danddayoosona,Qoociqqoocuwa kaxxi simmidi badalaa woykko maldduwaa oyxxaara woykko goodexxa uncccaa uukkidoogaara usttidi maanawu damddayes
"Hegaassi macca asay cimataa boynaa cadhdhiyaa, muchchuwaa, pooshshaamuwaa  kattidi maanawu danddayoosona","Hegaassi macca asay cimataa boynaa caggiyaa, muchchuwaa, poohzhsaamuwaa  kattidi maanawu damddayes"
Cimataa macca asay layttaappe layttan issitoo qoore qummaa kattidi miyo baalaa giidi xeesanawu danddayyettees,Cimataa macca asay layxxaaffe layxxam issitoo qoore qummaa kattidi miyo baalaa giidi xeesanawu damddayis
Cimataa maanawu biido gallassi machchiya ba azinaappe issi gallassaa shaahettada ba shooro macca asatuura aqawusu giyoogaa,Cimataa maanawu biido gassassi machchiya ba azinaaffe izz gassassaa hsaahexxada ba hsooro macca asatuura aqes  giyoogaa
Attuma asay banttarkka shiiqidi layttan issitoo caacaa miyo gishhshawu naa  aykka hegan lagge kiyoosona,Attuma asay banxxarqqa hsiiqidi layxxam issitoo caacaa miyo gihzhhsawu naa  aykka hegam lagge kiyawusu
"Caacaanne Cimataa maanawu biyoogan machchiya ba azinaa sirukku, azinaykka   ba machchiyo sirenna","Caacaamme Cimataa maanawu biyoogam machchiya ba azinaa sirukku, azinaykka   ba machchiyo sires"
Hegaassi caacaanne cimataa wogan machchippenne azinappe giduwan ayba metoykka merettenna,Hegaassi caacaamme cimataa wogam machchiffemme azinpe giduwam ayba metykka merettenna
Cimataa maanawu biyo wade macca asati Yeleta layyttay ichchashu  Iayttaappe  garssa gidido  naata efaanawu danddayoosona,Cimataa maanawu biyo wade macca asati Yeleta layyxxay ichchahsu  Iayxxaaffp  garssa gididoi naata  efaanawu damddayes
"waappe zoriya ekkoosona, 10  0 meeziya tamaaroosoona, bar:ltta de uwaabaa hayyottosoosna","waaffe zoriya ekkoosona, 10  0 meeziya tamaaroosoona, bar:lxxa de uwaabaa hayyottosoosna"
He sohuwan gereeroosonanne gayroosoona,He sohuwam gereeroosonamme gayres
eti shahaarido wodiyan waananaakko bantta soon qumaa waati kattanaakkonne issoy issuwaara zorettoosna,eti hsahrido wodiyam waananaakkobanxxa soom qumaa waati kaxxanaakkomme issoy issuwaara zores
"Hegan issoy issuwaappe daro timirttiya, 10  0 meeziyaanne zoriya ekkoosona","Hegam issoy issuwaaffe daro timirttiya, 10  0 meeziyaamme zoriya ekkoosona"
Cimataa miyo qammay xiskkidi aqiyo qamma gidennan macca asay miiddi  aqiyoo heeraa boosona  ,Cimataa miyo qammay xiskkidi aqiyo qamma gidennam macca asay miiddibanxxa aqiyoo heeraa bes  
keehin ho ettiiddi aqiyo qamma gidiyo gishshawu he qammay macca asaa qamma geetetttidi xeesettana danddayees,keehim ho exxiiddi aqiyo qamma gidiyo gihzhsawu he qammay macca asaa qamma geetetttidi xeesexxana damddayosona
Deebideebooya !,Deebideebya !
Deebichchan kaalachchan kaati worbbooya !,Deebichcham kaalchcham kati worbbooya !
Kaati biittaa naati baalle essoya!,Kaati biixxaa naati bale essoyes!
"Bakkaaliyan, shamaciyan qeeri landdooya!","Bakkaaliyan, hsamaciyam qeri lmddooya!"
Qeeri haattee doonan diiri dishkkoya!,Qeeri haattee doonam dri dihskkoya!
Miixxaa kuma deeshshaa maahee laalooya!,Miixxaa kuma dehsaa mhee laalooya!
Maahiya mado buuchchaa kaaran kaqqooya!,Maahiya mado buuchchaa kaaram kqoya!
Kaaraa daddiya addiya gusoy ooggooya!,Kaaraa dadiya addiya gusoy ooggooya!
Kanaa Tiitu dulliya kaysoy laaccooya!,Kanaa Tiitu dussiya kaysoy laaccooya!
Wolaytta deriya wogaa haqatu giddon cora qommo naatu kaassati de oosona,Wolayxxa deriya wogaa haqatu gdom cora qommo naatu kaassati de awusu
He kaassata ubbaakka dumma dumma gutaratuuninne gaasotuun naati poloosona,He kaassata ubbaakka dumma dumma gutaratuunimme gaasotuum naati poles
(sohotuppe = daraphatuppe = dembba) issoy mehiya heemmiyo gutaaraa,(sohotuffe = darahpatuffe = dembba) issoy mhiya heemmiyo gutara
Hegaa mala sohuwan eti kaa iyo haqa macaratuppe issi yettaa kaassaa hagaappe garssaara shiishshidoogaa be oos,Hegaa mala sohuwam eti kaa iyo haqa macaratuffe izz yexxaa kaassaa hagaaffe garssaara hsihsidoogaa be ayis
Wogay issi dere asawu de'iya oonatettaa qonccissiiyoogaa Xalaala gidenna  ,Wogay izz dere asawu de'iya oonatexxaa qonccisyoogaa Xalaala gidna  
he dere asay gallassi gallassi oottiyo oosuwaara sitta gaytotettay de iyo gishshawu he dere asaassi buqura,he dere asay gassassi gassassi oottiyo oswaara sixxa gaytotexxay de iyo gihsawu he dere asaassi buqura
Hegaappe haray qassi wogay mayzza ma e eran baasettidaagaa gidiyo gishshawu wodiya eraassi kane,Hegaaffe haray qassi wogay mayzza ma e eram baasettidgaa gidiyo gihzhsawu wodiya eraassi kane
Hegaassi wogay baynnasan zammaa na'eraynne ooratta tekinoolojee de anawu danddayenna,Hegaassi wogay baynnasam zammaa na'eraymme ooraxxa tekinoolojee de anawu dandayna
Ooratta tekinooloojiya dichchanawunne aassanawu ay dere asaykka mayzza ma  e eran ampppana koshshees,Ooraxxa tekinooloojiya dichchanawumme aassanawu ay dere asaykka mayzza ma  e eram ampana kohzhsis
Nu Toophpiya biittiya qoodan keehin daro sheeshshaata issippe  oyqqidaaro gidiyoogee erettees,Nu Toohffiya biittiya qdam keehim daro hseehzhsaata oyssidaaro gidiyoogee erettees
He dere asaa hara dere asaappe,He dere asaa hara dere asffe
Ha Toophpiya giddon de'iya cora sheeshshatuppe issuwa gidida aga ,Ha Toohffiya giddom de'iya cora hseehzhsatpe issuwa gidida aga 
 hara sheeshshatuppe eta dummayiya cora qommo wogati de es, hara hseehzhsatuffe eta dummayiya cora qommo wogati de es
"Hegeetuppe bullachchaanne qaxxaraa,yeehuwanne yettaa, , maayuwaanne gitaa, gettetosona","Hegeetuffe bussachchaamme qaxxaraa,yeehuwamme yexxaa, , maayuwaamme gitaa, gettetes "
imattaa mokkuwaanne moyssuwa  azzanuwaa qoncccissiyo wogati amaridaageeta,imaxxaa mokkuwaamme moyssuwa azzanuwaa qoncccissiyo wogati amaridaaga
Wolayttaa asaa matan de'iya cora wogata issi guttan xaafidi shiishshanawu danddayabeenna   ,Wolayxxaa asaa matam de'iya cora wogata izz guxxam xaafidi hsihsanawu damddayabna   
"hachchi xuufiyan Wolayytta daalaa, liiqaanne gimuwaa wogaa xaalaalaa ekkida shiishshaas","hachchi xuufiyam Wolyxxa daalaa, liiqaamme gimuwaa wogaa xaalaalaa ekkada hsiihzhsaas"
Wolayttan miizzaa haaridi eta qoodaa issi xeetaappe darissida mino goshshanchcha  ,Wolayxxam miizzaa haaridi eta qoodaa izz xeetpe darissida mino gohzhsancca  
 ba bolluwaane hara banaara erettiya asaa Xeeesidi ba haarido miizzaa qoodissiyo wogay de ees,ba bossuwaane hara banaara erettiya asaa Xeeesidi ba haarido miizzaa qoodsiyo wogay de ees
He wogaykka naa  u xekkan shaahettees:,He wogaykka naa  u xekkam hsaahtees:
 Koyro xekkay  daalaa  geetettidi xeesettiyoode naa  anttoy qassi  Liiqaa  geetettidi xeesettees, Koyro xekkay  daalaa  geetettidi xeesettiyoode naa  anttoy qassi  Liiqaa  geetettidi xeesettosona
Wolaytta biittan issi dure goshshanchchay miizzaa haaridi 100 gattidoogaa ,Wolayxxa btam izz dure gohzhsanccay miizzaa haaridi 100 gattidoogaa 
"guyyiyan ba laagiya, ba dabbuwaanne ba bolluwaa xeesidi he ubba asay shiiiqidosana ","guyyiyam ba laagiya, ba dabbuwaamme ba bossuwaa xeesidi he ubba asay hsiiiqis "
miizzatuppe issi booraa qooriyan kilddidi giya daalaa qachchiyo wogaa  daalaa  giidi xeesettees,miizzaa qoodissidi he miizzatuffe izz booraa qriyam kilddidi giya daalaa qchiyo wogaa  daalaa  giidi xeesettees
"Issi asi, daalanawu koykko guuxxiis gishin 100 miizzaa haaranawu kooshshees","Issi asi, daalanawu koykko guuxxiis gihsim 100 miizzaa haaranawu koohzhsawus"
Wolayttan daalaa wogaa polanawu 100ppe bolla miizzay de ana koshshees,Wolayxxam daalaa wogaa polanawu 100ffe bossa miizzay de ana kohzhsosona
Daalaynne liiqay ootti daafurin beettiyaaba,Daalaymme liiqay ooxxi dafrim beettiyaaba
Oottennnaaninne zal  ennan daalanawu danddayettenna,Oottnnaanimme zal  ennam dlanawu damddayettenna
Wolaytta biittan issi goshshanchchay daalanaappe koyrottidi miizza shaammees  ,Wolayxxa biixxam izz gohzhsanccay daalanaaffe koyrottidi miizza hsaammawus  
woykko giya zal  idi demmiyo miishshan miizzaa sham midi ba soon dichchanawu koyees  ,woykko giya zal  idi dmiyo miihzhsam miizzaa hsammidi ba soom dichchanawu koyawus  
asaassi kottan woykko miishshaa immanawu wolqqi baynnaagaa gidikko harawu immees,asaassi koxxam woykko mihsaa immanawu wolqqi baynnaagaa gidikko harawu immosona
wode daaliyo gallassaa keerees,wode daliyo gassassaa keriss
Daalanawu keettaaaway keerido gallassay gakkiyo wade ha keettawaara kotta miizzay ehees ,Daalanawu keexxaaaway keerido gassassay gkiyo wade ha keexxawaara koxxa miizzay ehosona 
ba soon de iyo asa ubbay miizzaa laaggi ekkidi daalaa sohuwa goodissanawu ehees,ba soom de iyo asa ubbay miizzaa laaggi ekkada daalaa sohuwa goodissanawu ehees
Hegaappe haray qassi keehin haaho biittan de'iya miiizzata  qoddissnaw danddayees  ,Hegaaffe haray qassi keehim haaho bitam de'iya miiizzata  qoddissnaw damddayawus  
